,Neg1rep1,Neg1rep2,Neg1rep3,Nov_VK1rep1,Nov_VK1rep2,Nov_VK1rep3,Nov_VK3rep1,Nov_VK3rep2,Nov_VK3rep3,Nov_VK5rep1,Nov_VK5rep2,Nov_VK5rep3,Nov_unenriched1rep1,Nov_unenriched1rep2,Nov_unenriched1rep3,Nov_unenriched2rep1,Nov_unenriched2rep2,Nov_unenriched2rep3,Nov_unenriched3rep1,Nov_unenriched3rep2,Nov_unenriched3rep3
57425981,0,0,0,8,8,8,6,3,4,2,3,3,16,10,10,13,12,18,13,13,12
57430249,0,0,0,4,4,2,4,3,2,5,6,5,4,4,4,4,4,4,4,4,4
57453375,0,0,0,2,2,2,4,4,4,4,4,4,5,7,4,4,3,3,2,5,4
57454271,0,0,0,6,5,7,0,6,0,9,9,7,3,4,4,4,5,3,6,4,4
57455394,0,0,0,2,3,2,2,3,2,3,2,3,1,1,3,2,3,3,4,4,1
57468614,0,0,0,7,3,8,0,0,0,0,0,0,7,10,4,8,5,5,5,6,6
57472525,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,4,4,2,4,3,4
57506737,0,0,0,4,4,4,1,0,0,1,0,2,0,2,2,1,0,2,0,2,1
57511620,0,3,1,11,3,2,6,6,11,0,0,0,18,15,16,19,15,14,13,15,14
57513218,0,0,0,4,4,4,2,2,2,0,0,0,4,6,7,6,6,4,4,6,4
57513431,0,0,0,6,2,3,7,7,7,1,2,1,5,4,4,4,6,6,5,5,6
57528177,2,2,2,0,0,0,0,0,0,0,0,0,7,4,3,4,4,5,4,5,4
57530733,0,0,0,4,4,4,2,2,2,0,0,0,4,6,8,6,6,4,4,6,4
57535441,0,0,0,7,11,6,13,10,9,7,6,7,11,9,8,7,8,5,7,10,5
57548415,0,0,0,8,6,6,0,0,0,0,0,0,4,4,3,3,3,4,3,3,3
57559690,0,0,0,0,3,3,0,0,0,0,0,0,3,4,4,6,6,2,6,4,2
57565395,0,0,0,1,0,0,0,0,0,0,0,0,6,3,6,6,6,6,7,6,6
57566721,3,4,3,23,19,20,14,13,12,20,22,20,18,18,19,19,18,18,15,17,17
57577070,0,0,0,7,4,5,1,1,3,0,2,0,5,8,6,6,9,5,5,4,9
57577649,3,4,3,5,2,6,0,0,0,0,0,0,15,12,17,23,16,14,17,20,14
57584638,0,0,0,0,1,0,2,0,0,1,0,2,18,16,12,13,12,10,15,11,14
57590348,0,0,0,6,6,6,5,5,7,4,4,3,6,8,8,8,7,5,8,6,6
57596771,6,6,6,5,5,4,0,3,0,0,0,0,6,10,10,11,12,6,6,10,7
57602627,4,4,4,42,37,40,23,26,24,30,33,35,42,41,43,38,39,39,39,43,36
57616187,0,0,0,10,12,11,8,6,7,6,4,4,23,23,22,25,22,20,21,27,19
57619266,0,0,0,3,2,3,0,1,1,0,0,0,11,12,9,10,8,7,7,9,9
57621203,1,0,0,7,7,5,0,4,2,2,0,4,11,13,11,14,10,11,11,8,9
57623638,1,1,0,5,6,5,5,4,5,7,6,5,10,7,9,6,9,10,8,7,7
57638373,0,0,0,2,3,1,0,0,1,0,0,0,6,8,6,9,4,5,8,5,6
