"","unenriched1","unenriched2","unenriched3","vk1","vk2","vk3"
"4098765",61,59,64,48,37,17
"4098784",41,29,37,16,21,16
"4100571",34,33,29,15,5,2
"4116244",49,48,43,12,19,0
"4172233",23,27,15,8,0,2
"4172235",13,15,14,0,0,0
"4182998",17,21,27,16,14,15
"4205147",17,14,14,0,0,0
"4220508",18,22,27,21,14,15
"4224618",43,47,47,39,35,39
"4228803",11,15,16,9,0,0
"4237753",12,11,10,1,0,0
"4239415",16,16,16,9,11,12
"4239579",4,6,6,10,9,11
"4246480",11,13,13,9,0,0
"4258282",27,21,21,13,6,0
"4343484",54,51,47,12,4,6
"4344665",120,134,129,41,16,21
"4424095",27,32,26,30,44,40
"4494265",92,106,112,17,0,0
"4501661",67,66,60,18,20,0
"4510354",66,60,64,3,0,0
"4542056",0,0,0,0,0,0
"4543087",0,0,0,12,28,22
"4557438",0,0,0,23,0,0
"4603422",18,15,9,0,0,1
"4610597",12,12,12,0,4,1
"4663007",16,18,19,0,0,0
"4672299",12,11,10,0,0,0
"4681425",13,10,10,0,0,0
"4693399",10,12,12,0,0,0
"4706576",112,104,107,56,19,17
"4737878",0,0,0,17,20,0
"4758947",9,11,10,10,3,11
"4774708",18,22,19,1,0,0
"4776583",25,28,26,0,1,5
"4778236",5,4,0,22,0,0
"4791570",27,20,24,10,10,3
"4791612",8,11,8,0,0,0
"4816499",291,321,315,146,129,143
"4841345",11,13,13,9,0,0
"4845317",16,16,6,6,0,0
"4854118",21,25,29,18,2,0
"4854266",16,16,6,6,0,0
"4902052",17,28,21,14,0,3
"4903439",35,43,51,30,27,27
"5018106",35,36,40,30,9,18
"5053713",28,30,30,16,1,0
"5086275",10,11,12,3,2,1
"5107176",15,15,17,0,0,0
"5138993",12,15,12,3,0,2
"5201609",15,10,11,0,0,0
"5223650",16,16,6,6,0,0
"5245426",23,23,21,4,0,0
"5245682",10,7,8,7,0,0
"5247630",15,12,18,0,0,0
"5247692",11,16,13,11,15,12
"5248047",17,21,19,18,3,6
"5250429",12,11,10,1,0,0
"5260797",0,0,0,0,0,0
"5268480",12,11,10,1,0,0
"5269880",1,6,6,15,18,16
"5307609",6,4,15,0,0,0
"5325890",13,15,13,21,11,14
"5341593",23,18,22,26,5,19
"5352527",12,15,12,3,0,2
"5367232",201,201,207,51,40,53
"5378971",0,0,0,0,0,0
"5430053",16,17,6,6,0,0
"5465456",11,12,13,9,0,0
"5485389",11,5,3,0,0,0
"5486031",6,6,6,13,0,0
"5495963",11,12,12,0,0,0
"5518117",0,0,0,51,60,35
"5531737",59,57,63,34,25,23
"5531991",13,14,13,6,0,0
"5535467",23,27,15,8,0,2
"5561115",13,15,14,0,0,0
"5596497",34,30,40,9,9,13
"5619178",13,16,15,9,0,2
"5640570",11,11,12,11,4,4
"5673728",43,48,56,31,21,24
"5710574",41,53,50,5,7,2
"5710678",14,11,10,13,17,19
"5711881",22,21,26,0,0,0
"5730052",0,0,0,8,13,0
"5730072",0,0,0,12,0,0
"5750132",12,11,10,1,0,0
"5750316",0,0,0,11,4,0
"5753625",9,17,15,14,15,0
"5765816",11,13,3,5,0,0
"5813004",0,0,0,0,0,0
"5828397",23,18,24,47,6,26
"5830787",23,21,21,10,10,3
"5830788",17,16,8,7,0,0
"5830831",14,15,14,0,0,0
"5887279",12,16,13,4,0,2
"5889071",78,86,94,11,0,0
"5935710",16,17,6,6,0,0
"5935720",43,45,36,7,12,0
"5946321",12,15,12,3,0,2
"5973164",15,12,10,15,17,21
"6023174",24,27,17,9,0,2
"6028622",17,21,19,18,3,6
"6029954",18,16,14,12,6,0
"6056719",18,16,10,8,0,0
"6060948",16,20,19,15,4,7
"6085738",21,16,20,0,0,0
"6099893",12,16,13,4,0,2
"6101228",11,13,13,9,0,0
"6102039",12,11,10,1,0,0
"6105533",12,10,11,0,0,0
"6105857",10,10,11,0,0,0
"6107407",46,51,51,35,5,1
"6122485",6,6,6,13,0,0
"6125354",12,11,10,1,0,0
"6125619",0,0,0,2,7,0
"6155443",0,0,0,38,81,34
