"","unenriched1","unenriched2","unenriched3","vk1","vk2","vk3"
"62931402",5.57309695203979,5.63369681533704,5.66601824208482,5.30814563669226,4.452463994667,4.452463994667
"62936292",8.19700001808581,8.06756187785363,8.13772672512091,7.65665863842876,7.73110856918811,7.64781992350978
"62937412",5.2357079075146,5.14693445624343,5.16663545432969,5.64606184019643,5.77896807719405,5.68501366505572
"62941522",5.27296027268734,5.10285030493437,4.89257348637571,4.452463994667,4.452463994667,4.452463994667
"62942343",5.11014082255578,5.22708536317878,5.16663545432969,4.452463994667,4.452463994667,4.452463994667
"62943215",5.79908550783433,5.78490334709946,5.88079200077262,5.35301848990926,5.35356317389351,5.28129456822538
"62943474",9.62051928058511,9.53527678625832,9.62305156323487,9.08587617673594,9.02037741707493,8.91305167669239
"62946388",5.40610540212477,5.29904996773001,5.51080179279801,4.452463994667,4.452463994667,4.452463994667
"62952131",5.34233358072648,5.39572376869165,5.56542882298292,5.43591421828335,5.67004133290627,5.2212788317339
"62955279",5.11014082255578,5.10285030493437,5.28680533522446,4.86041423779949,4.452463994667,4.452463994667
"62955720",5.71468472648441,5.84350123489375,5.88079200077262,5.54697022514142,4.90847238607963,4.452463994667
"62956017",4.80617240599094,4.88028713618385,4.81227366775413,6.2348258947444,4.452463994667,5.43753817893939
"62962671",5.89591790673079,5.8623421021023,5.9917035440951,5.91988510088882,5.84572271334568,5.82090895599255
"62962772",5.59817719238304,5.5858898559452,5.66601824208482,6.17821158807264,5.45602357439309,5.56945800777415
"62964438",6.08321337485267,6.06654069955233,6.17074959649232,5.7360272830804,5.00981331571303,4.452463994667
"62964712",5.30843054255703,5.26394812488222,5.07250599935305,4.452463994667,4.452463994667,4.452463994667
"62966887",5.37484386302676,5.33260325074737,5.35727924406825,4.452463994667,4.452463994667,4.452463994667
"62973949",5.27296027268734,5.33260325074737,4.89257348637571,5.09433401034707,4.452463994667,4.452463994667
"62974001",5.00965833269666,5.05532090626485,5.07250599935305,6.01257221029002,4.90847238607963,5.60953222468057
"62974897",4.452463994667,4.88028713618385,4.452463994667,5.67695761933268,5.5029922115411,4.99927478377758
"62977833",6.68092624836168,6.50588113167819,6.54554376051091,6.3407478867383,6.41970857046798,6.38687308967339
"62977865",5.06209468910362,4.88028713618385,4.96001009393417,5.7643280342463,4.452463994667,5.68501366505572
"62980033",6.08321337485267,6.09729024204254,6.09274082504694,6.05623233155822,5.74393162703682,5.28129456822538
"62981262",5.34233358072648,5.18819504223134,5.12134525303936,4.452463994667,4.452463994667,4.452463994667
"62981354",5.57309695203979,5.63369681533704,5.71269032404376,5.54697022514142,4.90847238607963,4.452463994667
"62981824",6.29827173499505,6.41560383073272,6.51154365520442,5.39550366870913,4.452463994667,4.452463994667
